Series ID,Year,Period,Label,Value
CWUR0000SA0,1969,M04,1969 Apr,36.5
CWUR0000SA0,1969,M05,1969 May,36.6
CWUR0000SA0,1969,M06,1969 Jun,36.8
CWUR0000SA0,1969,M07,1969 Jul,37.0
CWUR0000SA0,1969,M08,1969 Aug,37.2
CWUR0000SA0,1969,M09,1969 Sep,37.3
CWUR0000SA0,1969,M10,1969 Oct,37.5
CWUR0000SA0,1969,M11,1969 Nov,37.7
CWUR0000SA0,1969,M12,1969 Dec,37.9
CWUR0000SA0,1970,M01,1970 Jan,38.0
CWUR0000SA0,1970,M02,1970 Feb,38.2
CWUR0000SA0,1970,M03,1970 Mar,38.4
CWUR0000SA0,1970,M04,1970 Apr,38.7
CWUR0000SA0,1970,M05,1970 May,38.8
CWUR0000SA0,1970,M06,1970 Jun,39.0
CWUR0000SA0,1970,M07,1970 Jul,39.2
CWUR0000SA0,1970,M08,1970 Aug,39.2
CWUR0000SA0,1970,M09,1970 Sep,39.4
CWUR0000SA0,1970,M10,1970 Oct,39.6
CWUR0000SA0,1970,M11,1970 Nov,39.8
CWUR0000SA0,1970,M12,1970 Dec,40.0
CWUR0000SA0,1971,M01,1971 Jan,40.0
CWUR0000SA0,1971,M02,1971 Feb,40.1
CWUR0000SA0,1971,M03,1971 Mar,40.2
CWUR0000SA0,1971,M04,1971 Apr,40.4
CWUR0000SA0,1971,M05,1971 May,40.6
CWUR0000SA0,1971,M06,1971 Jun,40.8
CWUR0000SA0,1971,M07,1971 Jul,40.9
CWUR0000SA0,1971,M08,1971 Aug,41.0
CWUR0000SA0,1971,M09,1971 Sep,41.0
CWUR0000SA0,1971,M10,1971 Oct,41.1
CWUR0000SA0,1971,M11,1971 Nov,41.2
CWUR0000SA0,1971,M12,1971 Dec,41.3
CWUR0000SA0,1972,M01,1972 Jan,41.4
CWUR0000SA0,1972,M02,1972 Feb,41.6
CWUR0000SA0,1972,M03,1972 Mar,41.6
CWUR0000SA0,1972,M04,1972 Apr,41.7
CWUR0000SA0,1972,M05,1972 May,41.9
CWUR0000SA0,1972,M06,1972 Jun,42.0
CWUR0000SA0,1972,M07,1972 Jul,42.1
CWUR0000SA0,1972,M08,1972 Aug,42.2
CWUR0000SA0,1972,M09,1972 Sep,42.4
CWUR0000SA0,1972,M10,1972 Oct,42.5
CWUR0000SA0,1972,M11,1972 Nov,42.6
CWUR0000SA0,1972,M12,1972 Dec,42.7
CWUR0000SA0,1973,M01,1973 Jan,42.9
CWUR0000SA0,1973,M02,1973 Feb,43.2
CWUR0000SA0,1973,M03,1973 Mar,43.6
CWUR0000SA0,1973,M04,1973 Apr,43.9
CWUR0000SA0,1973,M05,1973 May,44.1
CWUR0000SA0,1973,M06,1973 Jun,44.4
CWUR0000SA0,1973,M07,1973 Jul,44.5
CWUR0000SA0,1973,M08,1973 Aug,45.4
CWUR0000SA0,1973,M09,1973 Sep,45.5
CWUR0000SA0,1973,M10,1973 Oct,45.9
CWUR0000SA0,1973,M11,1973 Nov,46.2
CWUR0000SA0,1973,M12,1973 Dec,46.5
CWUR0000SA0,1974,M01,1974 Jan,46.9
CWUR0000SA0,1974,M02,1974 Feb,47.5
CWUR0000SA0,1974,M03,1974 Mar,48.0
CWUR0000SA0,1974,M04,1974 Apr,48.3
CWUR0000SA0,1974,M05,1974 May,48.8
CWUR0000SA0,1974,M06,1974 Jun,49.3
CWUR0000SA0,1974,M07,1974 Jul,49.7
CWUR0000SA0,1974,M08,1974 Aug,50.3
CWUR0000SA0,1974,M09,1974 Sep,50.9
CWUR0000SA0,1974,M10,1974 Oct,51.4
CWUR0000SA0,1974,M11,1974 Nov,51.8
CWUR0000SA0,1974,M12,1974 Dec,52.2
CWUR0000SA0,1975,M01,1975 Jan,52.4
CWUR0000SA0,1975,M02,1975 Feb,52.8
CWUR0000SA0,1975,M03,1975 Mar,53.0
CWUR0000SA0,1975,M04,1975 Apr,53.2
CWUR0000SA0,1975,M05,1975 May,53.5
CWUR0000SA0,1975,M06,1975 Jun,53.9
CWUR0000SA0,1975,M07,1975 Jul,54.5
CWUR0000SA0,1975,M08,1975 Aug,54.7
CWUR0000SA0,1975,M09,1975 Sep,54.9
CWUR0000SA0,1975,M10,1975 Oct,55.3
CWUR0000SA0,1975,M11,1975 Nov,55.6
CWUR0000SA0,1975,M12,1975 Dec,55.8
CWUR0000SA0,1976,M01,1976 Jan,56.0
CWUR0000SA0,1976,M02,1976 Feb,56.1
CWUR0000SA0,1976,M03,1976 Mar,56.2
CWUR0000SA0,1976,M04,1976 Apr,56.5
CWUR0000SA0,1976,M05,1976 May,56.8
CWUR0000SA0,1976,M06,1976 Jun,57.1
CWUR0000SA0,1976,M07,1976 Jul,57.4
CWUR0000SA0,1976,M08,1976 Aug,57.7
CWUR0000SA0,1976,M09,1976 Sep,57.9
CWUR0000SA0,1976,M10,1976 Oct,58.2
CWUR0000SA0,1976,M11,1976 Nov,58.3
CWUR0000SA0,1976,M12,1976 Dec,58.5
CWUR0000SA0,1977,M01,1977 Jan,58.9
CWUR0000SA0,1977,M02,1977 Feb,59.5
CWUR0000SA0,1977,M03,1977 Mar,59.8
CWUR0000SA0,1977,M04,1977 Apr,60.3
CWUR0000SA0,1977,M05,1977 May,60.6
CWUR0000SA0,1977,M06,1977 Jun,61.0
CWUR0000SA0,1977,M07,1977 Jul,61.3
CWUR0000SA0,1977,M08,1977 Aug,61.5
CWUR0000SA0,1977,M09,1977 Sep,61.8
CWUR0000SA0,1977,M10,1977 Oct,61.9
CWUR0000SA0,1977,M11,1977 Nov,62.2
CWUR0000SA0,1977,M12,1977 Dec,62.5
CWUR0000SA0,1978,M01,1978 Jan,62.8
CWUR0000SA0,1978,M02,1978 Feb,63.2
CWUR0000SA0,1978,M03,1978 Mar,63.7
CWUR0000SA0,1978,M04,1978 Apr,64.3
CWUR0000SA0,1978,M05,1978 May,64.9
CWUR0000SA0,1978,M06,1978 Jun,65.6
CWUR0000SA0,1978,M07,1978 Jul,66.0
